canonical_id,work_id,title,years,production_year,favorite_count,my_list_count,primary_genre,source_origin,canonical_tags,classification_status,detail_url,attribute_source_url,attribute_fetched_at
danime:26071,26071,「笑ゥせぇるすまん」THE STAGE,2021,2021,1896,1063,2.5次元舞台,,2.5次元舞台,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26071,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26071,2026-07-25T10:24:25.195Z
danime:26072,26072,「FINAL FANTASY BRAVE EXVIUS」THE MUSICAL,2020,2020,1013,677,2.5次元舞台,,2.5次元舞台|職場|友情・仲間,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26072,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26072,2026-07-25T10:49:24.670Z
danime:26073,26073,SCHOOL STAGE『ここはグリーン・ウッド』,2019,2019,583,329,2.5次元舞台,,2.5次元舞台|学園,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26073,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26073,2026-07-25T10:24:27.710Z
danime:26075,26075,舞台「銀牙 -流れ星 銀-」～牙城決戦編～,2020,2020,485,331,2.5次元舞台,漫画,2.5次元舞台|友情・仲間,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26075,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26075,2026-07-25T10:49:24.670Z
danime:26077,26077,舞台けものフレンズ「JAPARI STAGE!」～おおきなみみとちいさなきせき～,2019,2019,293,353,2.5次元舞台,,2.5次元舞台,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26077,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26077,2026-07-25T10:24:27.710Z
danime:26078,26078,舞台「パタリロ！」～霧のロンドンエアポート～,2021,2021,750,441,2.5次元舞台,,2.5次元舞台,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26078,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26078,2026-07-25T10:24:25.195Z
danime:26081,26081,あやかしトライアングル,2023,2023,70316,57693,バトル・アクション,漫画,バトル・アクション|恋愛・ラブコメ|スペキュレーティブ判定保留|ラブコメ|恋愛,needs-review,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26081,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26081,2026-07-25T10:36:17.176Z
danime:26082,26082,ノケモノたちの夜,2022,2022,25681,34699,スペキュレーティブ判定保留,漫画,スペキュレーティブ判定保留,needs-review,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26082,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26082,2026-07-25T10:36:27.399Z
danime:26083,26083,もういっぽん！,2022,2022,18717,24088,スポーツ・競技,漫画,スポーツ・競技|ドラマ・青春|学園|成長・挑戦|スポーツ,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26083,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26083,2026-07-25T10:36:27.399Z
danime:26086,26086,カードファイト!! ヴァンガード will+Dress Season2,2022,2022,2020,1805,スポーツ・競技,,スポーツ・競技|キッズ・ファミリー|スペキュレーティブ判定保留|スポーツ,needs-review,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26086,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26086,2026-07-25T10:36:27.399Z
danime:26088,26088,舞台「文豪ストレイドッグス 序 」探偵社設立秘話,2020,2020,4465,2623,2.5次元舞台,ライトノベル・小説,2.5次元舞台|ミステリー|歴史・時代劇|推理・謎解き,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26088,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26088,2026-07-25T10:49:24.670Z
danime:26089,26089,舞台「文豪ストレイドッグス 序 」太宰治の入社試験,2020,2020,4396,2655,2.5次元舞台,ライトノベル・小説,2.5次元舞台|現代ファンタジー|ミステリー|推理・謎解き|怪異・妖怪|犯罪・警察,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26089,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26089,2026-07-25T10:49:24.670Z
danime:26090,26090,舞台「文豪ストレイドッグス DEAD APPLE」,2021,2021,4562,2781,2.5次元舞台,,2.5次元舞台|ミステリー|推理・謎解き|犯罪・警察,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26090,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26090,2026-07-25T10:24:25.195Z
danime:26091,26091,舞台「文豪ストレイドッグス 太宰、中也、十五歳」,2021,2021,5259,3105,2.5次元舞台,,2.5次元舞台|ミステリー|推理・謎解き|職業・仕事,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26091,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26091,2026-07-25T10:24:25.195Z
danime:26092,26092,映画「文豪ストレイドッグス BEAST」,2022,2022,7412,4529,ライブ・ラジオ・その他,ライトノベル・小説,ライブ・ラジオ・その他|ミステリー|友情・仲間|推理・謎解き|政治・戦略,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26092,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26092,2026-07-25T10:36:27.399Z
danime:26093,26093,舞台『DARKNESS HEELS～THE LIVE～』,2019,2019,566,207,2.5次元舞台,,2.5次元舞台|SF|スペースオペラ|宇宙,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26093,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26093,2026-07-25T10:24:27.710Z
danime:26094,26094,D4DJ All Mix／ディーフォーディージェーオールミックス,2023,2023,6546,6297,ドラマ・青春,,ドラマ・青春|成長・挑戦,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26094,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26094,2026-07-25T10:36:17.176Z
danime:26095,26095,すとぷりのHere!We!GO!!,2022,2022,3551,3945,ライブ・ラジオ・その他,,ライブ・ラジオ・その他|成長・挑戦,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26095,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26095,2026-07-25T10:36:27.399Z
danime:26096,26096,魔道祖師 完結編,2022,2022,30771,30808,恋愛・ラブコメ,,恋愛・ラブコメ|スペキュレーティブ判定保留|現代ファンタジー|ラブコメ|ミステリー|恋愛|推理・謎解き|怪異・妖怪,needs-review,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26096,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26096,2026-07-25T10:36:27.399Z
