work_id	title	favorites_count
10023	Di Gi Charat 星の旅	4551
28733	Dr.リンにきいてみて！	3360
27301	Hellsing	17028
10191	NOIR	16356
11014	ONE～輝く季節へ～	3699
10381	R.O.D -READ OR DIE-	14452
21307	RAVE	27427
27017	Spirit of wonder～チャイナさん短編集～	2461
27016	Spirit of Wonder～少年科學倶楽部～	1363
11070	STARLIGHT SCRAMBLE 恋愛候補生	920
10365	WXIII機動警察パトレイバー	16812
23265	あぃまぃみぃ！ストロベリー・エッグ	3419
10600	ヴァンドレッド the second stage	8546
11169	うさぎちゃんでCue！！	3445
11429	エイリアン9	6890
25185	オフサイド	1628
25371	カウボーイビバップ　天国の扉	15903
22947	ギャラクシーエンジェル	14546
20321	キン肉マンⅡ世 劇場版	2681
10223	ココロ図書館	3291
10230	コスモウォーリアー零	2534
21450	こちら葛飾区亀有公園前派出所 湯けむりポロリ！２００１年・京都の旅	3836
23232	サイボーグ009 THE CYBORG SOLDIER	12121
23416	サクラ大戦 歌謡ショウ 五周年記念公演「海神別荘」	1361
10022	サクラ大戦 活動写真	11627
23415	サクラ大戦 帝国歌劇団・花組 新春歌謡ショウ	1438
23417	サクラ大戦 巴里花組 特別ミニライブショウ	1188
24015	しあわせソウのオコジョさん	6555
28925	ジーンシャフト	3329
10056	シスター・プリンセス	10817
22038	シャーマンキング	48920
11293	ジャングルはいつもハレのちグゥ	16847
11283	スクライド	38282
10021	スレイヤーズぷれみあむ（劇場版）	9947
28373	ゾイド 新世紀スラッシュゼロ	4644
23641	ちっちゃな雪使いシュガー	4408
21018	テイルズ オブ エターニア　THE ANIMATION	13066
20623	デジモンアドベンチャー02 ディアボロモンの逆襲	11642
24400	デジモンテイマーズ	15283
20624	デジモンテイマーズ 冒険者たちの戦い	7212
22390	テニスの王子様	63764
26533	ねこぢる草	4238
10279	バビル2世	5265
28320	バンパイアハンターD	9680
10674	ヒカルの碁	54503
11426	フィギュア17　つばさ＆ヒカル	3533
28437	プチプチ・アニメ　カペリート カペリートのダンス	535
28435	プチプチ・アニメ　カペリート カペリートのラブソング	483
28434	プチプチ・アニメ　カペリート カペリートの魔法	1304
28436	プチプチ・アニメ　カペリート カペリートの夢	492
28439	プチプチ・アニメ　ジャム・ザ・ハウスネイル vol.２	870
11466	ブラック・ジャック＜Flashアニメ＞	4731
11552	フルーツバスケット	45892
28762	ポケットモンスタークリスタル　ライコウ雷の伝説	2612
23213	まほろまてぃっく	11109
10366	ミニパト	7249
10933	メトロポリス	9752
22785	も～っと！おジャ魔女どれみ	24678
24685	も～っと！おジャ魔女どれみ　カエル石のひみつ	8881
20033	よばれてとびでて！アクビちゃん	1193
11538	ラーゼフォン	30284
21772	ルパン三世TVSP #13 アルカトラズ コネクション	8037
21727	るろうに剣心 ‐明治剣客浪漫譚‐星霜編	11191
21726	るろうに剣心 ‐明治剣客浪漫譚‐追憶編	14877
20614	ワンピース アラバスタ編	33419
20604	ワンピース グランドライン突入編	28541
20605	ワンピース チョッパー登場・冬島編	27233
26989	ワンピース ねじまき島の冒険	1919
28944	映画クレヨンしんちゃん　嵐を呼ぶモーレツ！オトナ帝国の逆襲	2807
11035	学園戦記ムリョウ	9159
28604	機動天使エンジェリックレイヤー	4729
10162	吟遊黙示録 マイネリーベ -wieder-	5095
27296	劇場版　幻想魔伝 最遊記　Requiem　選ばれざる者への鎮魂歌	5165
10594	新白雪姫伝説プリーティア	3853
20467	星界の戦旗　特別編	3060
20468	星界の戦旗Ⅱ	3478
29030	千年女優	4382
23617	逮捕しちゃうぞ SECOND SEASON	8821
26322	地球少女アルジュナ Director's Edition	6822
26323	地球防衛家族	742
11460	鉄腕アトム ～地球最後の日～	1705
26872	電脳冒険記ウェブダイバー	3701
24229	頭文字[イニシャル]D Extra Stage インパクトブルーの彼方に･･･	15908
24228	頭文字[イニシャル]D Third Stage	26645
29160	魔法少女猫たると	572
10386	魔法遊戯 （3D版）	456
10492	魔法遊戯 飛び出す!!ハナマル大冒険	868
