work_id	title	favorites_count
11059	A.D.POLICE	2686
10289	AMON デビルマン黙示録	4607
11320	BLUE GENDER	6962
26707	Ｂビーダマン爆外伝V	2320
10678	D4プリンセス	2431
21309	GTO	26084
20008	Piaキャロットへようこそ!!2 DX	2669
11390	THE ビッグオー	17422
24576	TVA　それゆけ！宇宙戦艦ヤマモト・ヨーコ	5418
10033	TVアニメーション　下級生	5827
23592	アキハバラ電脳組 2011年の夏休み	3304
22626	おジャ魔女どれみ	55307
21089	カードキャプターさくら　さくらカード編	71533
22907	キョロちゃん	10213
23376	ごぞんじ！月光仮面くん	936
21447	こちら葛飾区亀有公園前派出所 両さんアメリカへ行く	3856
21446	こちら葛飾区亀有公園前派出所 両津の野望！タイムスリップ戦国伝	3605
21456	こちら葛飾区亀有公園前派出所THE MOVIE　もう、誰もわしを止められん！	5351
27488	コレクター・ユイ デジタルリマスター版 第1シリーズ	8481
11094	サクラ大戦 ～轟華絢爛～	15525
23412	サクラ大戦 歌謡ショウ 帝国歌劇団・第3回花組特別公演「紅蜥蜴」	1598
27239	ゾイド -ZOIDS-	11751
20356	デジモンアドベンチャー	55754
23275	デュアル！ぱられルンルン物語	5369
11387	ビーストウォーズメタルス　超生命体トランスフォーマー	8879
22793	ベターマン	6301
23644	ペットショップ　オブ　ホラーズ	3149
22806	メダロット	11967
23378	モンスターファーム～円盤石の秘密～	5714
11465	リボンの騎士 ＜オリジナルアニメ＞	2382
21759	ルパン三世TVSP #11 愛のダ・カーポ ～ＦＵＪＩＫＯ's Ｕnlucky Ｄays～	6531
22286	レレレの天才バカボン	1222
10240	ロスト・ユニバース	9116
20516	ワンピース イーストブルー編	55208
28942	映画クレヨンしんちゃん　爆発！温泉わくわく大決戦	1167
10778	火魅子伝	2800
20173	銀河英雄伝説　外伝2	12747
21231	劇場版 MARCO 母をたずねて三千里	1981
20419	劇場版 デジモンアドベンチャー	13650
23271	今、そこにいる僕	12900
11421	小さな巨人 ミクロマン	4231
23589	少女革命ウテナ アドゥレセンス黙示録	12805
23088	神風怪盗ジャンヌ	24732
23739	人形草紙あやつり左近	9126
20293	星界の紋章	6478
22036	仙界伝 封神演義	17170
23248	太陽の船ソルビアンカ	3247
23619	逮捕しちゃうぞ Special	9298
11407	地球防衛企業ダイ・ガード	10722
10831	超神姫ダンガイザー3	2329
10080	超生命体トランスフォーマー ビーストウォーズ・リターンズ	7335
11563	超発明ＢＯＹカニパン	2097
11477	鉄腕アトム 青騎士の巻	1218
24227	頭文字[イニシャル]D Second Stage	31446
