work_id	title	favorites_count
25052	「PERSONA5 the Stage」	2007
24479	「SHOW MUST GO ON」（9月14日 夜・東京公演）	2097
24480	「SHOW MUST GO ON」（9月15日 夜・東京公演）	1675
23154	「SHOW MUST GO ON」（9月21日 夜・大阪公演）	4532
24481	「SHOW MUST GO ON」（9月22日 夜・大阪公演）	1875
22668	「えいがのおそ松さん」劇場公開記念特番　鈴村健一＆入野自由のおフランスに行くザンス！	5784
22730	「パズドラ」第2シリーズ	653
22878	「王室教師ハイネ -THE MUSICAL Ⅱ-」	6502
25315	「鬼灯の冷徹」OAD その参	21762
24112	「銀河英雄伝説 Die Neue These 星乱」	25043
23575	「錆色のアーマ」 -繋ぐ-	956
26067	「僕のヒーローアカデミア」The “Ultra” Stage（ジ・ウルトラ・ステージ）	5442
28648	『ＣＯＣＯＯＮ』月の翳り（TRUMPシリーズ）	377
28649	『ＣＯＣＯＯＮ』星ひとつ（TRUMPシリーズ）	395
28452	『あんさんぶるスターズ！エクストラ・ステージ』～Destruction × Road～	394
28453	『あんさんぶるスターズ！エクストラ・ステージ』～Night of Blossoming Stars～	321
28081	『ヒプノシスマイク -Division Rap Battle-』Rule the Stage -track.1-	912
22674	『ワンパンマン』第2期	111976
24848	『家庭教師ヒットマンREBORN!』the STAGE -vs VARIA partⅠ-	1731
28518	【女性マスター】Fate/Grand Order THE STAGE -絶対魔獣戦線バビロニア-	616
23121	【全景版】ミュージカル「アルスラーン戦記」	1703
28517	【男性マスター】Fate/Grand Order THE STAGE -絶対魔獣戦線バビロニア-	604
23149	＜Infinite Dendrogram＞-インフィニット・デンドログラム-	61870
24749	～声優ゆるり旅～ 豊永利行の香港探訪 with ジャッキーちゃん	1673
24173	2.5次元ダンスライブ「ALIVESTAGE」　Episode 1_ Let us go singing as far as we go: the road will be less tedious.	1988
24904	2.5次元ダンスライブ「ALIVESTAGE」Episode 2『月花神楽　-青と緑の物語-』青藍の章	1181
24905	2.5次元ダンスライブ「ALIVESTAGE」Episode 2『月花神楽　-青と緑の物語-』浅葱の章	1134
24171	2.5次元ダンスライブ「S.Q.S」 Episode 3「ROMEO - in the darkness -」Ver.BLUE	1632
24170	2.5次元ダンスライブ「S.Q.S」 Episode 3「ROMEO - in the darkness -」Ver.RED	1829
26957	2.5次元ダンスライブ「S.Q.S」 Episode 4 「TSUKINO EMPIRE2 -Beginning of the World-」	582
24172	2.5次元ダンスライブ「SQ」ステージ BLAZING & FREEZING 昼公演	1604
24200	2.5次元ダンスライブ「SQ」ステージ BLAZING & FREEZING 夜公演	1475
26954	2.5次元ダンスライブ「ツキウタ。」ステージ 第8幕『TSUKINO EMPIRE -Unleash your mind.-』	715
23699	8P channel 5	1365
23700	8P channel 6	1251
25588	8P channel 8	642
23025	ACTORS -Songs Connection-	13560
27351	angela 15th Anniversary Live	229
27352	angela Asia Tour 2019 “aNI-SONG”	223
27353	angela Live 2018 All Time Best in 日比谷野音	182
24566	Animelo Summer Live 2019 -STORY-	11304
23174	ARP Backstage Pass	4813
25651	Away	4356
22569	B-PROJECT～絶頂＊エモーション～	15992
22691	BAKUMATSUクライシス	7766
22529	BanG Dream! 2nd Season	29826
23177	BanG Dream! 3rd Season	23643
24968	BanG Dream! Argonavis 1.5th LIVE	1100
24967	BanG Dream! Argonavis 1st LIVE	1320
24971	BanG Dream! FILM LIVE	8224
25290	BARで×××なことをするCD	1285
27894	BEASTARS	34202
22862	BEM	13799
23659	BLACKFOX	12469
23017	Bラッパーズストリート	375
22829	Dr.STONE（第1期）	163054
22676	Fairy gone フェアリーゴーン	36208
22974	Fate/Grand Order -絶対魔獣戦線バビロニア-	123528
24160	Fate/kaleid liner Prisma☆Illya プリズマ☆ファンタズム	21200
23882	GO!GO!アトム	580
23010	GRANBLUE FANTASY The Animation Season2	23853
23992	Hello WeGo!	1712
27095	Identity V STAGE Episode1『What to draw』Side:H	1026
27094	Identity V STAGE Episode1『What to draw』Side:S	1620
22682	KING OF PRISM -Shiny Seven Stars-	20392
22761	LAIDBACKERS-レイドバッカーズ-	5807
26716	LOVE LIVE! SUNSHINE!! Aqours World LoveLive! ASIA TOUR 2019	1466
26717	LOVE LIVE! SUNSHINE!! Aqours World LoveLive! in LA ～BRAND NEW WAVE～	1422
24371	LUPIN THE ⅢRD 峰不二子の嘘	12526
23709	MANKAI STAGE『A3!』～AUTUMN & WINTER 2019～	12410
25936	MANKAI STAGE『A3!』～SPRING 2019～	3193
25937	MANKAI STAGE『A3!』～SUMMER 2019～	2813
24090	OVA「超次元ゲイム ネプテューヌ」	5649
28647	Patch × TRUMP series 10th ANNIVERSARY「SPECTER」（TRUMPシリーズ）	316
24319	PSYCHO-PASS サイコパス 3	66232
26104	PSYCHO-PASS サイコパス Sinners of the System Case.1 罪と罰	25246
26105	PSYCHO-PASS サイコパス Sinners of the System Case.2 First Guardian	22256
26106	PSYCHO-PASS サイコパス Sinners of the System Case.3 恩讐の彼方に＿＿	22389
22863	Re:ステージ! ドリームデイズ♪	11848
23980	Re:ゼロから始める異世界生活 氷結の絆	81745
27464	Readyyy! の ゆるすた	81
27898	revisions リヴィジョンズ	5586
22714	RobiHachi	9949
22899	Run Girls, Run！のらんがばん！	1582
26073	SCHOOL STAGE『ここはグリーン・ウッド』	593
28461	Spookiz Cookie／スプーキッズ　クッキー	92
24742	Spookiz Season 3／スプーキッズ　シーズン3	250
23963	STAGE FES 2019-2020	4226
25894	SUPER SHIRO（スーパーシロ）	6439
24370	Thunderbolt Fantasy 西幽玹歌	3369
27166	UCHIDA MAAYA New Year LIVE 2019「take you take me BUDOKAN!!」	381
27167	UCHIDA MAAYA Zepp Tour 2019「we are here」	351
22539	W'z《ウィズ》	20548
23015	XL上司。【オンエア版】	11684
24373	アイカツオンパレード！	7818
23873	アイカツフレンズ！(2ndシーズン）	7227
22684	アイドルマスター シンデレラガールズ劇場　CLIMAX SEASON	8614
24383	アサシンズプライド	61026
23985	あした世界が終わるとしても	23967
23013	アズールレーン	51464
23026	アニメ「Z/X Code reunion」	24718
28537	アニメーション映画『音楽』	1509
23046	あひるの空	53896
22993	アフリカのサラリーマン	24444
26251	アリス・ギア・アイギス ～ドキッ！アクトレスだらけのマーメイドグランプリ♡	3429
22834	ありふれた職業で世界最強	175655
28710	アングリーバード２	327
28195	あんさんぶるスターズ! DREAM LIVE -4th Tour “Prism Star!”- ver.REFRACT【大阪公演】	1091
28194	あんさんぶるスターズ! DREAM LIVE -4th Tour “Prism Star!”- ver.SCATTER【大阪公演】	1193
24592	あんさんぶるスターズ！DREAM LIVE -3rd Tour “Double Star!”- ver.DEEP	12290
24593	あんさんぶるスターズ！DREAM LIVE -3rd Tour “Double Star!”- ver.RISE	13235
25084	アンダー・ザ・シー～ぼくたちの海底王国パトロール隊～	1177
25007	ヴィンランド・サガ	39369
24238	うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。	55483
26214	えいが うちの3姉妹	3114
23186	えいがのおそ松さん	21743
23883	エッグカー	347
22540	えんどろ～！	31225
25654	おしりたんてい(第2期)	999
25655	おしりたんてい(第3期)	928
23019	おどるモワイくん	447
22705	カードファイト!! ヴァンガード2019	2856
24488	ガールズ＆パンツァー 最終章 第2話	29684
22541	かぐや様は告らせたい～天才たちの恋愛頭脳戦～	190834
24322	かつて神だった獣たちへ	29594
27357	からかい上手の高木さん２	20863
23886	ガンダムビルドダイバーズRe:RISE	25786
24040	ギヴン	66601
27945	きかんしゃトーマス（シリーズ22）	148
28201	きみと、波にのれたら	8477
27897	キャロル＆チューズデイ	7824
22853	グランベルム	24500
