work_id	title	favorites_count
23901	「じょしらく」	1564
21960	「鬼灯の冷徹」OAD その壱	46648
23893	『ヴァンパイア騎士（ナイト）』 Supported by 青山メインランド	1565
21385	【第二章】學蘭歌劇『帝一の國』　―決戦のマイムマイム―	2618
21432	Animelo Summer Live 2015 -THE GATE-	10237
22375	ARIA The AVVENIRE	20712
20269	BAR 嫌われ野菜	1265
24380	BORUTO -NARUTO THE MOVIE-	13441
20223	Charlotte	175200
20216	Classroom☆Crisis	15163
20366	Dance with Devils	13371
20397	DD北斗の拳2 イチゴ味＋	5771
20387	DIABOLIK LOVERS MORE,BLOOD	26515
11597	DOG DAYS''	13747
20207	Fate/kaleid liner プリズマ☆イリヤ ツヴァイ ヘルツ！	40077
23199	GAMBA ガンバと仲間たち	1828
26590	GANGSTA．	18380
20944	GATE(ゲート) 自衛隊 彼の地にて、斯く戦えり	171818
24391	Go！プリンセスプリキュア	18608
20372	K　RETURN OF KINGS	34834
22274	K RETURN OF KINGS All in One Edition～Master in 2Hours～	8786
23729	Ｌａｒｖａ（ラーバ）　SEASON３	913
27413	Mimori Suzuko Live 2015『Fun!Fun!Fantasic Funfair!』	99
20459	OVA東京喰種トーキョーグール【JACK】	28145
20460	OVA東京喰種トーキョーグール【PINTO】	27368
28644	Patch stage vol.6「SPECTER」（TRUMPシリーズ）	322
20394	Peeping Life TV シーズン 1 ??	2304
20228	Peeping Lifex怪獣酒場　かいじゅうたちがいるところ	1504
20087	SHOW BY ROCK！！	23518
20564	Spookiz／スプーキッズ	745
23621	To LOVEる-とらぶる- ダークネス2nd	45140
20221	VENUS PROJECT-CLIMAX-	1535
20222	WORKING!!!	54538
22031	Yoshino Nanjo 1st LIVE TOKYO 1/3650 ミンナとつながる365日×???	1873
21994	アイカツ！（4thシーズン）	14873
22022	アイカツ！ミュージックアワード　みんなで賞をもらっちゃいまSHOW！	7932
21598	アイドルマスター シンデレラガールズ	43363
20214	アクエリオンロゴス	11625
20380	あにトレ！EX	10972
20014	アニメで分かる心療内科	30789
21461	あはれ！名作くん	10309
11609	アブソリュート・デュオ	46425
20277	アルスラーン戦記	72145
20421	ヴァルキリードライヴ マーメイド	25570
20231	うーさーのその日暮らし 夢幻編	3311
22000	うしおととら	47060
20405	うたの☆プリンスさまっ♪ マジLOVEレボリューションズ	26822
20389	うたわれるもの　偽りの仮面	31625
27438	うわばきクック	255
20095	えとたま	15881
20213	オーバーロード	183088
27731	オープン・シーズン4 おおかみ男とひみつの森	203
20172	おくさまが生徒会長！	30066
28849	おくさまが生徒会長！ 完全版	4048
20417	オシリスの天秤	8525
20399	おそ松さん	51803
24495	カードファイト!! ヴァンガードG ギアースクライシス編	1435
24496	カードファイト!! ヴァンガードG ストライドゲート編	1368
22781	ガールズ＆パンツァー 劇場版	35890
20224	がっこうぐらし！	95615
20220	ガッチャマン クラウズ インサイト	12249
20371	かみさまみならい ヒミツのここたま	4489
21827	かみさまみならい ヒミツのここたま（第103回～）	2204
21218	かみさまみならい ヒミツのここたま（第53回～）	2776
20090	ガンスリンガー ストラトス	14606
23848	がんばれ！ルルロロ 第２シリーズ	1373
27942	きかんしゃトーマス（シリーズ19）	149
20105	キュートランスフォーマー　帰ってきたコンボイの謎	2789
20122	グリザイアの楽園	44495
20111	グリザイアの迷宮	39245
20204	ケイオスドラゴン　赤竜戦役	16516
24051	こぎみゅん	1448
20988	こども刑事めめたん	508
25377	こびとす	1535
20418	こわぼん	2967
20403	コンクリート・レボルティオ～超人幻想～	5597
23001	こんぷれっくす×コンプレックス	1007
20381	ご注文はうさぎですか？？	64001
26896	サイボーグ009VSデビルマン	3439
20112	シドニアの騎士 第九惑星戦役	28894
28860	しまじろうと　おおきなき	128
20603	ジョジョの奇妙な冒険 スターダストクルセイダース エジプト編	81200
20362	スタミュ	19931
21249	ストライク・ザ・ブラッドOVA ｢ヴァルキュリアの王国篇｣	40416
20382	すべてがFになる　THE　PERFECT　INSIDER	41957
20161	それが声優！	17214
20109	ダイヤのＡ‐ＳＥＣＯＮＤ ＳＥＡＳＯＮ‐	35261
21058	たまゆら～卒業写真～第1部　芽－きざし－	8540
21059	たまゆら～卒業写真～第2部　響－ひびき－	6798
21060	たまゆら～卒業写真～第3部　憧－あこがれ－	6543
20103	ダンジョンに出会いを求めるのは間違っているだろうか	147407
20171	だんちがい	14960
28616	チャギントン（シーズン4）	465
20071	てーきゅう 4期	5488
20180	てーきゅう 5期	4890
20375	てーきゅう 6期	4706
20106	てさぐれ！部活もの すぴんおふ プルプルんシャルムと遊ぼう	5243
24731	デジモンアドベンチャー tri. 第１章「再会」	13621
11605	デス・パレード	42396
26930	デュエル・マスターズVSR	925
11595	デュラララ!!×２ 承	42332
20165	デュラララ!!×２ 転	39467
23783	テレビアニメいとしのムーコ	6373
24375	どうしても干支にはいりたい	2537
21739	ドラゴンボール超	36460
22309	ドラゴンボール超　第77話～第131話	29925
20113	トリアージX	19077
23896	なかよし60周年記念公演　ミュージカル「リボンの騎士」	1047
20096	ニセコイ:	49206
23181	ニセコイ:OVA	17478
20104	にゅるにゅる!!KAKUSENくん 2期	316
20094	ニンジャスレイヤー フロムアニメイシヨン	15782
20707	ノラガミ ARAGOTO	65082
26220	ノラガミ（OAD) 夜ト神連続殺人事件	8927
20215	のんのんびより りぴーと	46847
21609	ハーモニー	31505
20385	ハイキュー!!セカンドシーズン	108710
20100	ハイスクールD×D BorN	33118
24983	ハイパープロジェクション演劇「ハイキュー!!」(初演)	8434
20383	ハッカドール THE あにめ～しょん	11912
20420	ハッピージョージ	197
23147	パパのいうことを聞きなさい！ ～異人たちとの春～(OVA)	8197
23780	パパンがパンダ! その2	218
23779	パパンがヤッターマン！？	371
20116	ハロー！！きんいろモザイク	26166
20039	ぱんきす！２次元	319
20108	パンチライン	18298
21235	パンパカパンツ　おNEW！	621
21299	ピカイア！	1482
20227	ビキニ・ウォリアーズ	13473
25288	ふあぁっ！おにいちゃん...それやばいよぉ	6967
20396	ふうせんいぬティニー セカンドシーズン	731
23996	ブーブーボーイ	185
20344	ふなっしーのふなふなふな日和	1966
20120	フューチャーカード バディファイト１００（ハンドレッド）	3176
