work_id	title	favorites_count
25932	.hack//G.U. TRILOGY	5496
10573	｢エル・カザド｣	8628
10150	｢最遊記RELOAD-burial-｣	19340
25539	ABシ～ナモン2　えいごではなそう！	238
21431	Animelo Summer Live 2007 -Generation-A-	4123
10198	ARIA The OVA～ARIETTA～	20517
21687	BUZZER BEATER 2nd Quarter	2497
10617	Canvas2～虹色のスケッチ～[TVシリーズ]	3640
20340	CLANNAD	162932
23998	CLANNAD番外編 「夏休みの出来事」	27545
22628	CLAYMORE	29122
10951	D.C.Ⅱ ～ダ・カーポⅡ～	10088
10291	DARKER THAN BLACK-黒の契約者-	69680
10175	Devil May Cry	13605
23258	ef - a tale of memories.	29623
10413	EX MACHINA-APPLESEED SAGA-	7362
22024	Genius Party	4927
10275	GR-GIANT ROBO	4234
24281	JAM Project JAPAN CIRCUIT 2007 Break Out	443
10574	MURDER PRINCESS	7884
10316	Myself ; Yourself	12422
23118	NARUTO-ナルト- 疾風伝　イタチ真伝篇～光と闇～	12627
21052	NARUTO-ナルト- 疾風伝　オリジナル(1) 過去編	13810
21057	NARUTO-ナルト- 疾風伝　オリジナル(2) 航海編	13300
23112	NARUTO-ナルト- 疾風伝　カカシ暗部篇～闇を生きる忍～	13473
21021	NARUTO-ナルト- 疾風伝　サスケ再会編	18370
23115	NARUTO-ナルト- 疾風伝　ナルトの背中～仲間の軌跡～	11865
21047	NARUTO-ナルト- 疾風伝　ペイン来襲編	22669
23120	NARUTO-ナルト- 疾風伝　外伝編	17927
21056	NARUTO-ナルト- 疾風伝　五影編	19232
21038	NARUTO-ナルト- 疾風伝　三尾編	16368
21045	NARUTO-ナルト- 疾風伝　自来也VSペイン・サスケVSイタチ編	20606
23117	NARUTO-ナルト- 疾風伝　自来也忍法帳～ナルト豪傑物語～	11819
21036	NARUTO-ナルト- 疾風伝　守護忍十二士編	16855
21503	NARUTO-ナルト- 疾風伝　特別編　力-Chikara-	12635
23119	NARUTO-ナルト- 疾風伝　忍界大戦編 最終章	23935
21501	NARUTO-ナルト- 疾風伝　忍界大戦編(1)	26376
21502	NARUTO-ナルト- 疾風伝　忍界大戦編(2)	19358
21504	NARUTO-ナルト- 疾風伝　忍界大戦編(3)	21447
21505	NARUTO-ナルト- 疾風伝　忍界大戦編(4)	25953
23113	NARUTO-ナルト- 疾風伝　忍界大戦編(5)	20416
23114	NARUTO-ナルト- 疾風伝　忍界大戦編(6)	19171
23116	NARUTO-ナルト- 疾風伝　忍界大戦編(7)	19499
21037	NARUTO-ナルト- 疾風伝　飛段・角都編	18866
21020	NARUTO-ナルト- 疾風伝　風影奪還編	22777
21046	NARUTO-ナルト- 疾風伝　六尾編	14790
10493	OVA ToHeart2	4673
27564	OverDrive	2852
10372	REIDEEN	6226
10154	School Days	65116
10125	SHUFFLE!MEMORIES	9451
23631	Venus Versus Virus	2395
20304	Yes！プリキュア5	30171
23630	ああっ女神さまっ　闘う翼	8496
25970	いぬかみっ！ THE MOVIE　特命霊的捜査官・仮名史郎っ！	2491
