work_id	title	favorites_count
28138	「PERSONA5 the Stage #4 FINAL」	516
25861	「艦これ」いつかあの海で	31730
27495	「忍たま乱太郎」放送30年記念スペシャル	10856
27525	「美少女戦士セーラームーン」30周年記念 Musical Festival -Chronicle-	623
26844	「僕のヒーローアカデミア」 The “Ultra” Stage　平和の象徴	2255
25636	「本好きの下剋上」オーディオコメンタリー付き総集編	7283
27971	『あんさんぶるスターズ！THE STAGE』-Track to Miracle-	919
27972	『あんさんぶるスターズ！THE STAGE』-Witness of Miracle-	907
28218	『チェンソーマン 総集篇』	29402
25847	『チキップダンサーズ』(2期)	2044
28088	『ヒプノシスマイク -Division Rap Battle-』 Rule the Stage 《Rep LIVE side F.P》	432
28089	『ヒプノシスマイク -Division Rap Battle-』 Rule the Stage 《Rep LIVE side M.T.C》	473
28090	『ヒプノシスマイク -Division Rap Battle-』 Rule the Stage 《どついたれ本舗 VS Buster Bros!!!》	592
28087	『ヒプノシスマイク -Division Rap Battle-』Rule the Stage -track.5-	762
28091	『ヒプノシスマイク -Division Rap Battle-』Rule the Stage《Bad Ass Temple VS 麻天狼》	575
25649	『咲う アルスノトリア すんっ！』	18005
28481	≠ME ACT LIVE「おジャ魔女どれみドッカ～ン！」＜コロンチーム＞	268
28482	≠ME ACT LIVE「おジャ魔女どれみドッカ～ン！」＜ジュエリーチーム＞	240
28672	2.5次元ダンスライブ「ALIVESTAGE」Episode 6『Gift』Ver.BLUE	119
28673	2.5次元ダンスライブ「ALIVESTAGE」Episode 6『Gift』Ver.GREEN	130
28675	2.5次元ダンスライブ「S.Q.S」Episode 8「SCHOOL REVOLUTION あの頃の僕らは」Ver.BLUE	113
28674	2.5次元ダンスライブ「S.Q.S」Episode 8「SCHOOL REVOLUTION あの頃の僕らは」Ver.RED	127
28283	2.5次元ダンスライブ「VAZZROCK STAGE」Episode2『ペトリコール・ノスタルジー』Ver.ROCK DOWN	148
28282	2.5次元ダンスライブ「VAZZROCK STAGE」Episode2『ペトリコール・ノスタルジー』Ver.VAZZY	146
28503	2.5次元ダンスライブ「ツキウタ。」ステージ Girl’s Side MEGASTA. Episode2『Goodbye my dear Frenemy.』花公演	77
28504	2.5次元ダンスライブ「ツキウタ。」ステージ Girl’s Side MEGASTA. Episode2『Goodbye my dear Frenemy.』星公演	77
28409	2.5次元ダンスライブ「ツキウタ。」ステージ第12幕『裏斬心 -Children are sometimes ruthless and cruel.-』ver.BLACK	245
28429	2.5次元ダンスライブ「ツキウタ。」ステージ第12幕『裏斬心 -Children are sometimes ruthless and cruel.-』ver.合同セットリスト	222
28501	2.5次元ダンスライブ「ツキウタ。」ステージ第13幕『月野百鬼夜行綺譚 依依恋恋』黒の章	209
28502	2.5次元ダンスライブ「ツキウタ。」ステージ第13幕『月野百鬼夜行綺譚 依依恋恋』白の章	194
25318	３秒後、野獣。～合コンで隅にいた彼は肉食でした【オンエア版】	10078
25785	4人はそれぞれウソをつく	34959
25608	5億年ボタン【公式】～菅原そうたのショートショート～	7626
26863	8P channel 11	353
26864	8P channel 12	346
28734	8P channel 13	139
27627	Action Stage「エリオスライジングヒーローズ」	633
27628	Action Stage「エリオスライジングヒーローズ」-THE WEST-	691
26912	Animelo Summer Live 2022 -Sparkle-	3376
28688	BanG Dream! 10th☆LIVE DAY1 : Roselia「Sonnenschein」	2089
28689	BanG Dream! 10th☆LIVE DAY2 : Morfonica「Reverberation」	607
28690	BanG Dream! 10th☆LIVE DAY3 : Poppin'Party「Hoppin'☆Poppin'☆Dreamin'!!」	674
28691	BanG Dream! 10th☆LIVE DAY4 : RAISE A SUILEN「SOUL ROAR」	758
25737	BanG Dream! Morfonication	7689
28692	BanG Dream! Special☆LIVE Girls Band Party! 2020→2022	1642
25329	BIRDIE WING -Golf Girls' Story-	17933
25851	BLEACH 千年血戦篇	147642
25251	CUE!	15653
25765	D4DJ Double Mix	3569
25816	Do It Yourself!! -どぅー・いっと・ゆあせるふ-	29069
25689	Dr.STONE 龍水	62050
25610	Engage Kiss	122905
24780	Extreme Hearts	10189
25606	Extreme Hearts S×S×S	6160
27261	Garden of Remembrance	4409
25581	HAPPY LUSASA	115
27172	harmoe 1st LIVE TOUR This is harmoe world	392
25631	iiiあいすくりん２	723
28355	JAM Project LIVE TOUR 2022 THE JUDGEMENT	191
25611	KJファイル	6026
26055	KJファイル（#14～#26）	1016
27652	MANKAI MOVIE『A3!』～AUTUMN & WINTER～	705
27527	MANKAI STAGE『A3!』ACT2! ～AUTUMN 2022～	1046
26849	MANKAI STAGE『A3!』ACT2! ～SPRING 2022～	2149
27526	MANKAI STAGE『A3!』ACT2! ～SUMMER 2022～	903
26848	MANKAI STAGE『A3!』Troupe LIVE～WINTER 2022～	1581
25663	Obey Me! The Anime Season 2	2968
25972	Paradox Live on Stage THE LIVE ～BAE×The Cat's Whiskers～	1632
25973	Paradox Live on Stage THE LIVE ～cozmez×悪漢奴等～	1529
25805	PUI PUI モルカー DRIVING SCHOOL	10965
26259	ROLY POLY PEOPLES	653
27873	Roselia単独ライブ「Episode of Roselia DAY2 : Rose」	1413
25343	RPG不動産	41105
25392	Shenmue the Animation	8734
25335	SPY×FAMILY	349489
26892	STAGE FES 2022-2023【1部】	311
26893	STAGE FES 2022-2023【2部】	282
25156	TRIBE NINE（トライブナイン）	14190
25271	TVアニメ「オリエント」 安芸旅立ち編	22441
25682	TVアニメ「オリエント」 淡路島激闘編	13885
25766	TVアニメ「オリエント」最強はだれだ!?激闘戦!	662
25416	TVアニメ「オリエント」内田雄馬VS斉藤壮馬「最強はどっちだ！？」決定戦！	1315
25430	TVアニメ「シャドウバースＦ」	3629
26311	TVアニメ「ちびゴジラの逆襲」	5261
25628	TVアニメ「てっぺんっ!!!!!!!!!!!!!!!」	9838
25400	TVアニメ「トモダチゲーム」	68412
