work_id	title	favorites_count
25116	【獄・】さよなら絶望先生	8209
21430	Animelo Summer Live 2008 -Challenge-	4721
10197	ARIA The ORIGINATION	23838
10076	BUS GAMER	4551
20341	CLANNAD　AFTER　STORY	85955
24001	CLANNAD AFTER STORY 総集編 「緑の樹の下で」	21063
24000	CLANNAD AFTER STORY 番外編 「一年前の出来事」	23586
23999	CLANNAD番外編 「もうひとつの世界 智代編」	24554
11593	COBRA THE ANIMATION　ザ・サイコガン	9383
10952	D.C.Ⅱ.S.S.～ダ・カーポⅡセカンドシーズン～	8643
23257	ef - a tale of melodies.	18892
21015	FREEDOM SEVEN	8384
22025	Genius Party Beyond	2952
10344	H2O ～FOOTPRINTS IN THE SAND～	8162
24282	JAM Project JAPAN FLIGHT 2008 No Border	423
23946	kiss×sis OAD	32732
11590	KITE LIBERATOR	10355
21679	ONE OUTS	23062
10143	OVA『ToHeart2ad』	4915
24177	OVAスペシャル～マジカルハート☆こころちゃん～	3147
23245	OVA苺ましまろencore	7630
21247	PERSONA -trinity soul-	28481
10469	RD潜脳調査室	16202
10595	S・A～スペシャル・エー～	13868
24176	School Days＜Valentine Days＞	13133
20888	To LOVEる-とらぶる-	50285
28105	To LOVEる-とらぶる- OVA	9386
22160	xxxHOLiC◆継	45592
20311	Yes！プリキュア5GoGo！	23046
10152	あかね色に染まる坂	17837
24103	アキバちゃん	386
10070	あまつき	10351
10071	アリソンとリリア	14021
28215	イヴの時間 オリジナル版	8241
10359	イタズラなKiss	17812
10473	イナズマイレブン フットボールフロンティア編	31792
11286	イナズマイレブン　脅威の侵略者編	26601
24028	ヴァンパイア騎士	19495
24029	ヴァンパイア騎士Guilty	12695
27342	ウエルベールの物語 ～Sisters of Wellber～　第二幕	1383
25530	ウサハナのマジカルかずとかたち	600
26213	うちの3姉妹	9472
25354	ウルトラヴァイオレット：コード044	1036
27729	オープン・シーズン２ ペットＶＳ野生のどうぶつたち	210
23775	おねがいマイメロディ きららっ☆	6309
21861	カイバ	12105
10158	ガンスリンガー・ガール ― IL TEATRINO ―	20283
10293	かんなぎ	39090
28977	きかんしゃトーマス みんなあつまれ!しゅっぱつしんこう	101
27642	ギャグマンガ日和3	9955
11274	キャシャーンSins	6611
10006	ケメコデラックス!	5633
11621	ケロロ軍曹 5thシーズン	14698
20053	コードギアス 反逆のルルーシュ R2	118492
28812	コードギアス 反逆のルルーシュ SPECIAL EDITION ‘BLACK REBELLION’	5245
25040	こちら葛飾区亀有公園前派出所TVスペシャル　ワシと俺！？ぼくらは浅草少年探偵団！	1487
25041	こちら葛飾区亀有公園前派出所TVスペシャル　目指せ！亀有スーパースター！！　～両津式アイドルへの道！～	1526
23431	サクラ大戦 紐育レビュウショウ ～歌う♪大紐育♪3～ ラストショウ	916
