work_id	title	favorites_count
28035	ＢＡＤＢＯＹＳ３　ＢＥＳＴ ＦＲＩＥＮＤＳ	795
22232	GHOST IN THE SHELL/攻殻機動隊	39670
23705	MEMORIES	11609
20155	NINKU -忍空-	14132
21414	OVA　無責任艦長タイラー	5746
10897	アイドルプロジェクト	1743
28998	きかんしゃトーマス（シリーズ4）	309
25925	ご近所物語	6485
10779	ジャイアント・ロボ THE ANIMATION 外伝 銀鈴 GinRei 青い瞳の銀鈴 GinRei with blue eyes	4096
10781	ジャイアント・ロボ THE ANIMATION 外伝 銀鈴 GinRei　鉄腕GinRei Epidode.23 禁断の果実を奪還せよ 極楽大作戦！！	4144
22629	ストリートファイター USA	2262
11406	ストリートファイターⅡV	5095
10239	スレイヤーズ	34370
10014	スレイヤーズ(完全無欠版)	12438
20500	ダーティペアFLASH2	2435
20501	ダーティペアFLASH3	2471
29152	ナースエンジェルりりかSOS	2371
23375	バーチャファイター	2441
10725	はじまりの冒険者たち～レジェンド・オブ・クリスタニア～	2785
23860	プチプチ・アニメ　ニャッキ！	9434
10081	ぼのぼの	14648
22469	ママはぽよぽよザウルスがお好き	3159
24936	ママレード・ボーイ（劇場版）	5791
27969	ルパン三世 くたばれ!ノストラダムス	3343
21756	ルパン三世TVSP #07 ハリマオの財宝を追え！！	6697
20199	ロミオの青い空	10739
28938	映画クレヨンしんちゃん　雲黒斎の野望	1168
11399	怪盗セイント・テール	16468
10638	恐竜冒険記 ジュラトリッパー	1207
20298	銀河英雄伝説　本伝・第4期	17134
11057	劇場版 美少女戦士セーラームーンＳｕｐｅｒＳ　セーラー９戦士集結！ブラック・ドリーム・ホールの奇跡	20770
11058	劇場版 美少女戦士セーラームーンＳｕｐｅｒＳ外伝　亜美ちゃんの初恋	15627
11055	劇場版スラムダンク　湘北最大の危機！燃えろ桜木花道	12934
11056	劇場版スラムダンク　吠えろバスケットマン魂！！花道と流川の熱き夏	12258
22162	行け！稲中卓球部	9693
10207	新世紀エヴァンゲリオン	40569
23266	神秘の世界エルハザード　TV	6251
10237	精霊使い	4974
11143	戦ー少女イクセリオン	2371
22655	沈黙の艦隊	11158
10356	天地無用!	14868
26392	飛べ！イサミ	9149
24433	美少女戦士セーラームーンSuperS	24061
10238	不思議の国の美幸ちゃん	6566
23281	魔法少女プリティサミー　OVA	3115
11149	妖精姫レーン	1072
24472	緑山高校　甲子園編 【衛星アニメ劇場版】	1356
